"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Australia","Total","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.9","10"
"Australia","Total","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.8","10"
"Australia","Total","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.7","10"
"Australia","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","101.5",""
"Australia","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.6","10"
"Australia","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.5","10"
"Australia","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","100.3","9"
"Australia","Total","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.5","10"
"Australia","Total","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.4","10"
"Australia","Total","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.3","10"
"Australia","Total","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","100.8",""
"Australia","Total","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.2","10"
"Australia","Total","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.3","10"
"Australia","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","100.5","9"
"Austria","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.2",""
"Austria","Total","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.0","3"
"Austria","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.1","3"
"Austria","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.3","3"
"Austria","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","106.5","3"
"Austria","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.5","3"
"Austria","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.8","3"
"Austria","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.1",""
"Austria","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.9","3"
"Austria","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.1","3"
"Austria","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.2","3"
"Austria","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.2","3"
"Austria","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.3","3"
"Austria","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.2",""
"Austria","Total","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.4","3"
"Austria","Total","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.7","3"
"Austria","Total","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","108.0","3"
"Austria","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","107.7","3"
"Austria","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","108.4","3"
"Austria","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","108.9","3"
"Austria","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.3",""
"Austria","Total","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","109.4","3"
"Austria","Total","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","109.8","3"
"Austria","Total","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","110.1","3"
"Austria","Total","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","110.4","3"
"Austria","Total","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","110.7","3"
"Austria","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","110.6",""
"Azerbaijan","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.7",""
"Azerbaijan","Total","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.5",""
"Azerbaijan","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.8",""
"Azerbaijan","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.0",""
"Azerbaijan","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.2",""
"Azerbaijan","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.5",""
"Azerbaijan","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.9",""
"Azerbaijan","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","104.8","3"
"Azerbaijan","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.7",""
"Azerbaijan","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.8",""
"Azerbaijan","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.8",""
"Azerbaijan","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.0",""
"Azerbaijan","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.4",""
"Azerbaijan","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.2",""
"Azerbaijan","Total","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.7",""
"Azerbaijan","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.4",""
"Azerbaijan","Total","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","105.1","3"
"Azerbaijan","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.4",""
"Bahamas","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.3",""
"Bahamas","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","105.7",""
"Bahamas","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","105.5",""
"Bahamas","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.7",""
"Bahamas","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.8",""
"Bahamas","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.1",""
"Bahamas","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.5",""
"Bahamas","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.8",""
"Bahamas","Total","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.8",""
"Bahamas","Total","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.2",""
"Bahamas","Total","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.9",""
"Bahamas","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.5",""
"Bahamas","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","104.1",""
"Bahamas","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.2",""
"Bahamas","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.7",""
"Bahamas","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.6",""
"Bahrain","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","74.4",""
"Bahrain","Total","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.9","7"
"Bahrain","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","74.0","7"
"Bahrain","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","74.0","7"
